COD_PRODUTO;PRODUTO;CLASSIFICACAO
024956;BASE P/ TAMPO 95X95 QD 105 RED ACO NOBRE IRIS;MOVEIS COZINHA TAMPO
024957;CADEIRA IRIS CROMADO ASSENTO PRETO C-94;MOVEIS COZINHA CADEIRA
024969;ROUPEIRO FLORIDA 4 PORTAS ROVERE;MOVEIS QUARTO GUARDA-ROUPA
024977;ROUPEIRO MODENA 4 PORTAS ROVERE;MOVEIS QUARTO GUARDA-ROUPA
018325;MAX QUAD VERMELHO 228;LAZER BRINQUEDOS MINI VEICULO
017273;CAMA CASAL BIANCA  BRUNA  TB MP;MOVEIS QUARTO CAMA
A02488;ENCOSTO PARA CADEIRA;ALMOXARIFADO
A01422;CAIXA DE EMENDA OPTICA 24F COMPLETA;ALMOXARIFADO
013371;CAMA SOLTEIRO ELEGANCE MF;MOVEIS QUARTO CAMA
012124;CJ.04CAD.MD15 1250 P.ARDOSIA 1
008766;REFRIGERADOR D.SECO 1 P.340 CRA 34 DBBNA BR;ELETRO ELETRODOMESTICO LAVADORA
019031;COMBO FACILITY NOGUEIRA PRETO;MOVEIS
A02385;BUCHA TIRANTE RANDON 2000 ORIG;ALMOXARIFADO
013862;REFRIGERADOR DOMEST 2PTS.BRE49BBBNA;ELETRO ELETRODOMESTICO LAVADORA
022788;CONJ.SC-AKX880LBK SOM 3X1 PANASONIC;TECNOLOGIA AUDIO MINI SYSTEM
008337;SAMSUNG E630 AVULSO CLARO;CELULAR SMARTPHONE
0010;WALLFELT 75 1250X120CM CORTE 60CM 5;ALMOXARIFADO
015750;MESA DE CENTRO JESSICA CARV PT;MOVEIS SALA DE ESTAR MESA DE CENTRO
022939;FONE DE OUVIDO PREMIUM;TECNOLOGIA AUDIO FONE DE OUVIDO
014565;REFRIGERADOR RCD 33 BR;ELETRO ELETRODOMESTICO REFRIGERADOR
006312;APARELHO CELULAR 3320;CELULAR SMARTPHONE
023001;CADEIRA BISTRO MARCELLA VINHO PLAST HOME;MOVEIS TERRACO CADEIRA
020077;TAMPO DE MADEIRA CD 405 P COZ.120 38 GTO MAR;MOVEIS COZINHA TAMPO
011309;SUPER FESTA ROSA CX C 4 UNIDS 486;LAZER BRINQUEDOS MINI VEICULO
019262;LG G PRO LITE BCO TIM;CELULAR SMARTPHONE SMARTPHONE
013467;CAMA CASAL ITALIA REF.642 BR PT;MOVEIS QUARTO CAMA
012713;COZINHA MXII CRIATIVA 3V BRA;MOVEIS COZINHA COZINHA COMPACTA
012937;ROUPEIRO 6 PTS.SINTONIA C ESP TB TB MP;MOVEIS QUARTO GUARDA-ROUPA
100014;RESIDUOS ELETRONICOS;ELETRO
A01108;FITA ANTI-DERRAPANTE;ALMOXARIFADO
024759;COMODA UP OFF WHITE PATRIMAR;MOVEIS QUARTO COMODA
009164;BENQ SIEMENS CF110;CELULAR SMARTPHONE
010382;RADIO PORTATIL ICF F12S;TECNOLOGIA AUDIO SOM PORTATIL
020160;COLC. D 20 REAL MASTER 1.88 X 1
011322;LG GM205 CLARO;CELULAR SMARTPHONE
A01012;RESPIRADOR SEMI FACIAL 3M 6200MD CA 4115 -;ALMOXARIFADO
012136;PANELEIRO CX BR 600MM C GAV.577LARICE;MOVEIS COZINHA COZINHA COMPACTA
012394;MESA CENTRO VENEZA VID MG;MOVEIS SALA DE ESTAR MESA DE CENTRO
011305;RACK URANO;MOVEIS SALA DE ESTAR RACK
A00201;IMPRESSORA EPSON MATRICIAL LX 300;ALMOXARIFADO
011317;CARREGADOR MIRAGE ZIPADO MINI P PILHAS PRATA;TECNOLOGIA CÂMERA E FILMADORA ACESSORIO DE CÂMERA E FILMADOR
011071;COLCHAO ROBUSTUS D 50 138 X 52 BLACK;MOVEIS COLCHAO COLCHAO
016509;DVD SD 4071 SEMP;TECNOLOGIA TV E VIDEO DVD
005898;TV TC 2918 PS MITSUBISHI LET;TECNOLOGIA TV E VIDEO TV
013446;ROUPEIRO 4 PTS.IBATIBA RS;MOVEIS QUARTO GUARDA-ROUPA
A01067;CABO DE VELA KOMBI 1.4 TOTAL FLEX;ALMOXARIFADO
020522;ARM ACO LUMINA IPHT2V 105 IPH 70 BRASB PRETO;MOVEIS COZINHA ARMARIO
020525;ARM ACO VITA IPLP 60 NCH BRASB CVH;MOVEIS COZINHA PANELEIRO
009418;RADIO TOSHIBA RG 8177 MP3;TECNOLOGIA AUDIO SOM PORTATIL
021025;DEPILADOR HP6419 30 PHILIPS SATIN GIRL;ELETRO BELEZA E SAUDE DEPILADOR
008705;ARM ACO ITANOVA SMART I 3V D;MOVEIS COZINHA COZINHA COMPACTA
015054;CRIADO IMPERIAL TB BR;MOVEIS QUARTO CRIADO MUDO
019966;MIC.PORTATIL TABLET SEMP TA0760W PR;TECNOLOGIA INFORMATICA TABLET
019337;LG G2 MINI DUAL PRETO TIM;CELULAR SMARTPHONE SMARTPHONE
007590;POLTRONA INFANTIL BABY;MOVEIS TERRACO POLTRONA
009838;TOUCADOR HORIZONTE;MOVEIS QUARTO TOUCADOR
018436;ELIPTICO ACT CLT10 CLASSIC D.C.R 201;LAZER ESPORTE E FITNESS ELIPTICO
S0009R;SERVICO DE PROTECAO TOTAL 131;SERVICOS SEGURO CELULAR
014414;LG P525 DB;CELULAR SMARTPHONE
020176;ARM VIVACE IG2A 70 COIMBRA CZ;MOVEIS COZINHA BALCAO
021173;ROUPEIRO LARA 02 PTS.BRANC PRET ROSA;MOVEIS QUARTO GUARDA-ROUPA
023044;SMARTPHONE SAMSUNG GAL J2 PRIME DB DOURADO;CELULAR SMARTPHONE SMARTPHONE
A00910;PROTETOR DE TANQUE WURT;ALMOXARIFADO
017569;DVD AMVOX AMD280;TECNOLOGIA TV E VIDEO DVD
022524;COLCHAO PLATINIUM 158X198X32;MOVEIS COLCHAO COLCHAO
002421;TV COR 20 ULTRAVISION PC 2039;TECNOLOGIA TV E VIDEO TV
019792;PRANCHA P-16 ALISAD.T.ION FAS.PINK;ELETRO BELEZA E SAUDE PRANCHA
020123;PAINEL CLOVO CRISTAL;MOVEIS SALA DE JANTAR APARADOR
011596;SISTEMA MULTIPONTO COMPLETO 1
020742;G.ROUPA MASTER 8.6 C PES ATH ALP;MOVEIS QUARTO GUARDA-ROUPA
A01506;COXIM DO AMORTECEDOR DIANTEIRO;ALMOXARIFADO
014263;G.ROUPA 2009 6PTS.3GAV.533 TB MP;MOVEIS QUARTO GUARDA-ROUPA
023931;PANELEIRO 2P CG231 TKA-VERMONT;MOVEIS COZINHA PANELEIRO
022300;AUDIO PB 122 BT (PRETO);TECNOLOGIA AUDIO SOM PORTATIL
012734;ARM ACO ITANOVA SMART IP 31V D VD;MOVEIS COZINHA COZINHA COMPACTA
013913;BICICLETA CALOI 10;LAZER ESPORTE E FITNESS BICICLETA
