COD_PRODUTO;PRODUTO;CLASSIFICACAO
024118;PULSO ACO PULSEIRA QZ 2315KZM/1P TECHNOS;CELULAR RELOGIO RELOGIO
016579;FRUTEIRA MF 185 BRANCO PRETO UV;MOVEIS COZINHA ARMARIO
021248;SMARTPHONE SAMSUNG GAL J5 J500 OI PRETO;CELULAR SMARTPHONE SMARTPHONE
009189;GRADIENTE GF760 DB;CELULAR SMARTPHONE
006285;CRIADO 2 GAV. TOQUE;MOVEIS QUARTO CRIADO MUDO
A01291;SILENCIOSO INT.;ALMOXARIFADO
005767;BICICLETA R20 EXPERT 20 PRETA A12;LAZER ESPORTE E FITNESS BICICLETA
014003;HOME CINEMA HDMI1080P HTS 3510 78;TECNOLOGIA TV E VIDEO HOME THEATER
020470;RADIO HOME HT-F5505K ZD REP.DVD BLU RAY C/AMP;TECNOLOGIA TV E VIDEO HOME THEATER
013720;ESTANTE HOME MAXIMUS IMB COURO;MOVEIS SALA DE ESTAR ESTANTE
015584;ARMARIO GELADEIRA LARA BR BR;MOVEIS COZINHA COZINHA COMPACTA
012485;G.ROUPA 6 PTS 3 GAV.2022008 MG;MOVEIS QUARTO GUARDA-ROUPA
007923;TELEVISOR EM CORES CONJ.C RADIO TV 2021;TECNOLOGIA TV E VIDEO TV
017278;CAMA SOLTEIRO ADSV.INFANTIL RAD;MOVEIS QUARTO CAMA
010430;LG KF300 DB;CELULAR SMARTPHONE
017940;ROUPEIRO PORTUGAL S PE C ES GRI PTO;MOVEIS QUARTO GUARDA-ROUPA
018207;SAMSUNG GALAXY MEGA I 9200 PTO;CELULAR SMARTPHONE
A00277;GARFO P  FESTA GD BRANCO PC 100UN;ALMOXARIFADO
011880;MESA COMPUTADOR OFFICE REF.8003 MF;MOVEIS ESCRITORIO MESAS DE COMPUTADOR
013208;VENTILADOR 30 CM PROTECT PRETO;ELETRO AR E VENTILACAO VENTILADOR
RHA00238;CALCA 202 MAS   GER CD   38;ALMOXARIFADO
RHA00554;CALCA 203 FEM   OPERAC   54;ALMOXARIFADO
009138;TOUCADOR SEALE;MOVEIS QUARTO TOUCADOR
020379;DVD PLAYER DVT F 251;TECNOLOGIA TV E VIDEO DVD
010099;FOGAO DOM.4BC.CF250ABUNA GLP 127 220V;ELETRO ELETRODOMESTICO FOGAO
024685;ESTOFADO BOA VISTA 3 LUGARES CAFE;MOVEIS SALA DE ESTAR SOFA
017648;MESA TIBAGI;MOVEIS ESCRITORIO MESAS DE COMPUTADOR
011047;MESA P  COMPUTADOR ECONOMICA;MOVEIS ESCRITORIO MESAS DE COMPUTADOR
013388;COMODA LAIS 4 GAV.BR UVA;MOVEIS QUARTO COMODA
017575;BOX LINE OCM 350 FM BLUETOOTH;TECNOLOGIA AUDIO SOM PORTATIL
S0003O;SERVICO DE PROTECAO SEM DESCULPAS4C;SERVICOS SEGURO CELULAR
018214;TABLET NB046 PC 7 TAB TV;TECNOLOGIA INFORMATICA TABLET
015997;NOTEBOOK STI IS CORE I 3 CI3380M 4GB HD500 W7;TECNOLOGIA INFORMATICA NOTEBOOK
011424;BOX SOBWOOFER SWF 1214C A. FALANTE;TECNOLOGIA AUTOMOTIVOS ALTO FALANTE
019830;AUDIO PH80;TECNOLOGIA AUDIO SOM PORTATIL
012763;ARM DAKAR COZINHA BR PT;MOVEIS COZINHA COZINHA COMPACTA
G0005F;GE2 TV 3D PLASMA;SERVICOS GARANTIA
020629;CADEIRA PEQUIM CR 65 TRANCADO CINZA;MOVEIS SALA DE JANTAR CADEIRA
018716;CAMERA SAMSUNG DV150 PRETA;TECNOLOGIA CÂMERA E FILMADORA CÂMERA
021846;PAINEL CLOUD BRANCO;MOVEIS SALA DE ESTAR PAINEL PARA TV
A00639;DESINFETANTE 05L;ALMOXARIFADO
A02038;VARETA OLEO MB 1935/41;ALMOXARIFADO
018813;CASE SAMSUNG GALAXY S DUOS S7560 ROXO;CELULAR ACESSORIO
020414;MESA DE ALUMINIO REDONDA DE 60CM;MOVEIS TERRACO MESA
A01879;FERRO DE SOLDAR 25W 43572/503 TRAMONTINA;ALMOXARIFADO
022593;COLCHAO TOP DREAM 138X188X27;MOVEIS COLCHAO COLCHAO
A01943;MACANETA INT MB 16/20LS/ATRON 96/LD (1554);ALMOXARIFADO
014751;SAMSUNG E2550 TIM ROSA;CELULAR SMARTPHONE
024720;G.ROUPA 6PTS.3G.TAUROS IMPERIAL 2012 CINZ/RUS;MOVEIS QUARTO GUARDA-ROUPA
016691;SAFIRA ARMARIO GELADEIRA 0
RHC00307;CAMISA 103 MAS   GER CD   XGG;ALMOXARIFADO
S00049;SERVICO DE PROTECAO SEM DESCULPAS7E;SERVICOS SEGURO CELULAR
024320;FERRO FDRY SECO 220V;ELETRO ELETROPORTATEIS FERRO
022176;ROUPEIRO PARIS 6P.PES 100%MDF 3101-60 MAL/TEX;MOVEIS QUARTO GUARDA-ROUPA
017149;MINI SYSTEM FWM 9000X 78 AUDIO P FESTA;TECNOLOGIA AUDIO MINI SYSTEM
021763;CONJ.DARQUE 1
020735;BASE GAZIN POLIESTER 0
012475;COZINHA COMPACTA SHEILA BR;MOVEIS COZINHA COZINHA COMPACTA
021765;CONJ.DARQUE 1
019411;MOTOROLA  MOTO E DUAL TV PTO;CELULAR SMARTPHONE
014963;ARM.PANELEIRO SIMPLES 1PT VID 87039 A;MOVEIS COZINHA COZINHA COMPACTA
016693;SAFIRA ARMARIO CANTO ALTO 199 BR CAPUCCINO;MOVEIS COZINHA COZINHA COMPACTA
013926;MESA CENTRO MONET 219 09 IMB ESCURO;MOVEIS SALA DE ESTAR MESA DE CENTRO
014289;APARADOR ROX PLINH BIQUINI HP6375 50;ELETRO BELEZA E SAUDE DEPILADOR
022254;TABLET BRAVVA BV QUAD.8G PRETO;TECNOLOGIA INFORMATICA TABLET
A02263;VELCRO PRETO;ALMOXARIFADO
A02311;AGULHA DE VELOCIDADE 7D 125KM;ALMOXARIFADO
007885;LAVADORA LDP SUGGAR MODELO 2239;ELETRO ELETRODOMESTICO LAVADORA
012150;TV LCD 42;TECNOLOGIA TV E VIDEO TV
019690;RADIO RECEPTOR 5 FXS RM PF34;TECNOLOGIA AUDIO SOM PORTATIL
019634;RADIO NBX-06 CONECT STAR;TECNOLOGIA AUDIO SOM PORTATIL
019838;MESA FORMATO CR RT 1.60X0.90 VID WG;MOVEIS SALA DE JANTAR MESA
A00707;CENTRAL MASTER 20P E CORD;ALMOXARIFADO
G00069;GE2 TELEFONE FIXO;SERVICOS GARANTIA
021440;CONJ.VITORIA 223 PETROLEO AMAS;MOVEIS SALA DE ESTAR SOFA
009278;NOKIA 6070 CLARO;CELULAR SMARTPHONE
RHA00634;CALCA 204 FEM   VEND LOJA   34;ALMOXARIFADO
014717;BELICHE GUARA BR PT;MOVEIS QUARTO CAMA
013764;HOME THEATER DAV DZ315;TECNOLOGIA TV E VIDEO HOME THEATER
019758;FORNO 9 LITROS FE9022 BR SUGGAR;ELETRO ELETRODOMESTICO FORNO
014840;VENTILADOR 40CM NV-61 6P PRETO 220V;ELETRO AR E VENTILACAO VENTILADOR
010427;CAMA SOLTEIRO GRECIA;MOVEIS QUARTO CAMA
A02026;SINTETICC BRANCO GEADA 0
A01971;CAMARA 3.00X14 RH-14 RINALDI;ALMOXARIFADO
010831;SONY ERICSSON R306 TIM;CELULAR SMARTPHONE
015602;RADIO C CD E MP3 AMC 990 C USB;TECNOLOGIA AUDIO SOM PORTATIL
024008;PAINEL HOME CAPRI SMART NATURALE/WENGUE;MOVEIS SALA DE ESTAR PAINEL PARA TV
019174;RADIO AUTOMOTIVO TALK MULTILASER P3214;TECNOLOGIA AUTOMOTIVOS SOM AUTOMOTIVO
S00044;SERVICO DE PROTECAO SEM DESCULPAS2E;SERVICOS SEGURO CELULAR
008991;GRADIENTE GV230 OI;CELULAR SMARTPHONE
A01608;REGISTRO ESFERA PREMIUM FF1/2 PN25;ALMOXARIFADO
006061;MICROONDAS JETDFROST 27L BMS 27ABBNA;ELETRO ELETRODOMESTICO FORNO
005607;BICICLETA 26 MASC. C   18M SR;LAZER ESPORTE E FITNESS BICICLETA
012347;TOPA TUDO TB MP;MOVEIS QUARTO SAPATEIRA
010917;SONY ERICSSON Z750 CLARO;CELULAR SMARTPHONE
A01681;RETROVISOR MINI BIZ;ALMOXARIFADO
012037;RACK SAFIRA MG;MOVEIS SALA DE ESTAR RACK
A01595;CONTATO PARA TOMADA;ALMOXARIFADO
012691;RACK TIETE MF;MOVEIS SALA DE ESTAR RACK
022735;CONJUGADO GRECIA ORT.52X188X138 EURO 365PP;MOVEIS COLCHAO CAMA BOX
012316;ESTANTE SEALE MG;MOVEIS SALA DE ESTAR ESTANTE
A00653;EXTENSAO NO SHOCK 45 3MT;ALMOXARIFADO
016681;PANELEIRO SIMPLES LARA C VID C.BIA ARGENT;MOVEIS COZINHA PANELEIRO
022454;AEREO CD-622 BASCULANTE 120 NM/TURQUESA;MOVEIS COZINHA ARMARIO
011385;CAMERA DIGITAL OLYMPUS X 40 10MP;TECNOLOGIA CÂMERA E FILMADORA CÂMERA
021771;CONJ.SUPREMA 1
A00897;OLEO HIDRAULICO ATF HIDROMATIC 1LT;ALMOXARIFADO
017978;MICROCOMPUTADO INSPIRON ONE2330;TECNOLOGIA INFORMATICA PC
S00028;SERVICO DE PROTECAO SEM DESCULPAS93;SERVICOS SEGURO CELULAR
014901;MINI SYSTEM MHC GTR333;TECNOLOGIA AUDIO MINI SYSTEM
A00170;MOUSE SERIAL;ALMOXARIFADO
023330;GUARDA ROUPA 18490 NOCE/LINHO;MOVEIS QUARTO GUARDA-ROUPA
021301;CONJ.LANKASTER 1X1 4C.VALEN.CARV PT TC41S.PT;MOVEIS SALA DE JANTAR CONJUNTO MESA
008232;SONY ERICSSON GSM K700 AVULSO;CELULAR SMARTPHONE
021021;LIQUID.RI2087/90 PE JARRA TRITAN;ELETRO ELETROPORTATEIS LIQUIDIFICADOR
A02779;BUCHA PLASTICA P/ FIXACAO N 8;ALMOXARIFADO
024751;MESA CENTRO SKINNY PRETO PATRIMAR;MOVEIS SALA DE ESTAR MESA DE CENTRO
011234;FOGAO 4BC. LAGUNA 4027 BR;ELETRO ELETRODOMESTICO FOGAO
018363;ARMARIO TRIPLO 3 PTS. VIDRO BORDO;MOVEIS COZINHA COZINHA COMPACTA
016359;SAMSUNG GALAXY Y DUOS S6102 DB BRANCO;CELULAR SMARTPHONE
016772;COLC COLCHOBOX UNISEL 138 X 188 X 25;MOVEIS COLCHAO COLCHAO
016305;ARM VIVACE LACA IG3G2 120 PT;MOVEIS COZINHA COZINHA COMPACTA
005809;REFRIGERADOR 2 P.BRASTEMP 430L BRN 43;ELETRO ELETRODOMESTICO REFRIGERADOR
023101;COMODA 4 GAVETAS NOGAL DE MADEIRA;MOVEIS QUARTO COMODA
014305;CAMERA DE VIDEO DE IMAGENS DSC W510 B;TECNOLOGIA CÂMERA E FILMADORA CÂMERA
023075;MESA CENTRO VIDRO GABRIELA DEMOLICAO;MOVEIS SALA DE ESTAR MESA DE CENTRO
012803;RACK MIRELA TB MP;MOVEIS SALA DE ESTAR RACK
A01511;KIT DO ESTABILIZADOR 931;ALMOXARIFADO
018441;BAL MIC 2 B CAP 300KG PLAT 41X57CM MICHELETE;ELETRO UTILIDADES DOMESTICAS
007578;MOTOROLA C355 MTV OI;CELULAR SMARTPHONE
012801;MESA P  COMPUTADOR ECONOMICA BR VD;MOVEIS ESCRITORIO MESAS DE COMPUTADOR
A00286;FLYPC MOD B. INB08 117BA CEL430 320GB 1TB S.C;ALMOXARIFADO
013854;LG GU200 CLARO;CELULAR SMARTPHONE
013497;COMODA ROUPEIRO C CH IMP V.RICA AMD PT;MOVEIS QUARTO GUARDA-ROUPA
005395;CAMA SOLTEIRO LIVIA MARFIM;MOVEIS QUARTO CAMA
014635;MESA P  COMPUTADOR SEALE BR;MOVEIS ESCRITORIO MESAS DE COMPUTADOR
018483;TELEFONE SEMP FT1923;TECNOLOGIA TV E VIDEO TV
A00989;GRAMPO P/CABO DE ACO 1/4 VONDER  PQ;ALMOXARIFADO
019419;PEN DRIVE 4GB TWIST2 BRANCO;TECNOLOGIA INFORMATICA PEN DRIVE
016655;LG A275 TIM PRETO;CELULAR CELULAR CELULAR
A00249;KIT ESCRITA METIQ C  5 PINCEIS SINTETICO;ALMOXARIFADO
022316;CAMA SOLTEIRO JUVENIL 01 LX CAMBEL;MOVEIS QUARTO CAMA
020266;PLUMASPUMA D20 KIDS 60X130X12;MOVEIS COLCHAO COLCHAO
011780;TELEFONE SEM FIO TS40 ID PT;ELETRO ELETROPORTATEIS TELEFONE
014420;NOKIA X3 02 DB;CELULAR SMARTPHONE
019492;VENTILADOR COLUNA 50CM NEW CROMADO;ELETRO AR E VENTILACAO VENTILADOR
S00035;SERVICO DE PROTECAO SEM DESCULPAS3A;SERVICOS SEGURO CELULAR
018930;SMARTPHONE SONY XPERIA C C2304 DB PRETO;CELULAR SMARTPHONE SMARTPHONE
014096;SECADOR DE CABELO SC 608 VINHO;ELETRO BELEZA E SAUDE SECADOR DE CABELO
011291;AUTO RADIO CDX GT237 X;TECNOLOGIA AUTOMOTIVOS SOM AUTOMOTIVO
A02345;ROLAMENTO 6202-2RS RODA DIANT/TRAS (RCC);ALMOXARIFADO
017139;NOKIA ASHA 308 PRETO CLARO;CELULAR SMARTPHONE
009836;MESA TELEFONE MONIQUE;MOVEIS SALA DE ESTAR MESA DE CENTRO
012595;ESTANTE ARUBA MAP TB;MOVEIS SALA DE ESTAR ESTANTE
018568;FOGAO 5BC.WAVES BR;ELETRO ELETRODOMESTICO FOGAO
A00891;MANGUEIRA AUTOMOTIVA - PT ( MT );ALMOXARIFADO
022136;SMARTPHONE LG K10 K430 OI DOURADO;CELULAR SMARTPHONE SMARTPHONE
A02827;MINIRACK MODULADOR 10UX740MM;ALMOXARIFADO
A10469;LAMPADA DO FAROL PHOENIX ( ORIGINAL );ALMOXARIFADO
022809;PAINEL HOME CAPRI NATURALE;MOVEIS SALA DE ESTAR PAINEL PARA TV
016341;SAMSUNG GALAXY Y PRO DUOS B5512 DB;CELULAR SMARTPHONE
021603;DVD D-14 GAME STAR USB II;TECNOLOGIA TV E VIDEO DVD
008607;GRADIENTE STRIKE FLIPPY;CELULAR SMARTPHONE
009631;DEPURADOR SUGGAR NOVO LEGITIMO NL62 BR;ELETRO ELETRODOMESTICO DEPURADOR
024505;ARMARIO LUCE IPLDV-70 MX BRANCO;MOVEIS COZINHA PANELEIRO
011261;MOTO ZK CROSS BEM 10 2096;LAZER BRINQUEDOS MINI VEICULO
A01201;FILTRO SEPARADOR MANN WK1060/4;ALMOXARIFADO
018976;CABECEIRA IZADORA CARV PT;MOVEIS QUARTO CABECEIRA
011959;ROUPEIRO 4 PTS.ESSENCIAL MG;MOVEIS QUARTO GUARDA-ROUPA
008414;TOUCADOR MADRI;MOVEIS QUARTO TOUCADOR
021082;LIMPADOR DE PISOS PWA004 LA;ELETRO ELETRODOMESTICO ACESSORIOS
021533;FERRO FCAL VAPOR CALORE ROSA;ELETRO ELETROPORTATEIS FERRO
016209;CADEIRA BERLIM CR;MOVEIS COZINHA MESA
016829;TABLET NB004 SKY 3G P CHIP P CEL PT;TECNOLOGIA INFORMATICA TABLET
020010;CONJ.DE SOM 3X1 SC AKX38LBK;TECNOLOGIA AUDIO MINI SYSTEM
020490;ACESSORIO MONOPOD PAU DE SELFIE CABO AMARELO;CELULAR ACESSORIO ACESSORIO
024731;BICICLETA 24 MTB MASC 21M FLASH VERMELHO;LAZER ESPORTE E FITNESS BICICLETA
023608;ROUPEIRO MELISSA 2PTS PEROLA;MOVEIS QUARTO GUARDA-ROUPA
A02362;ARMACAO BRALIMP PROF 120 CM AP1200 METAL;ALMOXARIFADO
A01468;JUNTA GUARN TAMPA TUCHE CBX/XR300 C/COXIM;ALMOXARIFADO
010301;TELEFONE SEMP FT 1911;ELETRO ELETROPORTATEIS TELEFONE
013667;TELEVISOR LCD 32 PFL3605D 78;TECNOLOGIA TV E VIDEO TV
009824;SAMSUNG C161;CELULAR SMARTPHONE
A01094;BORRACHA CANALETA MB BICUDO METRO;ALMOXARIFADO
016267;ARM ALLEGRO LACA IPL 50 RD BR;MOVEIS COZINHA COZINHA COMPACTA
015281;CONJ.EST.COLINAS 3.2 134 X 133;MOVEIS SALA DE ESTAR SOFA
021799;UNIDADE EXT.CA TE24F 220V 60 1F;ELETRO AR E VENTILACAO AR CONDICIONADO
024075;PULSO ACO PULSEIRA ACO QZ 2036LNW/1Y TECHNOS;CELULAR RELOGIO RELOGIO
020656;BEBEDOR AG COMP BC20X 220V PRATA;ELETRO ELETRODOMESTICO BEBEDOURO
023753;CABECEIRA SOLTEIRO LIVIA BR;MOVEIS QUARTO CABECEIRA
010093;TV LCD 19 LN19R81BX XAZ;TECNOLOGIA TV E VIDEO TV
011716;CONDENSADOR MSS 12 CR 12000 BTUS F;ELETRO AR E VENTILACAO AR CONDICIONADO
A02319;JUNTA DO CAVALETE DAGUA CASTANHA;ALMOXARIFADO
020377;ESCOVA MODELADORA HP8665 80;ELETRO BELEZA E SAUDE ESCOVA MODELADORA
022325;REFRIGERADOR DOM.2PTS.386L CRM43NKBNA EVOX;ELETRO ELETRODOMESTICO REFRIGERADOR
A00881;LENTE QUAD.VERM. (ARG)  TOPO BAU PQ.(2143657);ALMOXARIFADO
A00289;ROTEADOR DIR 600 2.4GHZ WIFI;ALMOXARIFADO
023690;ROUPEIRO 6PTS 2GAV NAT MADEIRA E530-AM;MOVEIS QUARTO GUARDA-ROUPA
A00826;FLUIDO FREIO FLEX AUTO DOT4 500ML.;ALMOXARIFADO
017060;ROUPEIRO INFANTIL EMOCAO BR RS;MOVEIS QUARTO GUARDA-ROUPA
A00064;MARCADOR PERMANENTE 1100   AZUL;ALMOXARIFADO
A01394;GUIA DE CABO HORIZ FEC 1U FURUKAWA;ALMOXARIFADO
014536;LG A180 TIM;CELULAR SMARTPHONE
A02093;ROLAMENTO RODS DIANT GRANDE;ALMOXARIFADO
011973;ROUPEIRO 6 PTS.ESSENCIAL TB BR MP;MOVEIS QUARTO GUARDA-ROUPA
013903;LIQ.RI 2008  20 BR 220V WALITA;ELETRO ELETROPORTATEIS LIQUIDIFICADOR
010321;CAMERA DIG.M863 C CART 1GB;TECNOLOGIA CÂMERA E FILMADORA CÂMERA
S0007F;SERVICO DE PROTECAO TOTAL 47;SERVICOS SEGURO CELULAR
010379;MOTOROLA W270 CLARO;CELULAR SMARTPHONE
022097;COZINHA COMPACTA BRENDA BR/PT;MOVEIS COZINHA COZINHA COMPACTA
A01450;AMORTECEDOR TRASEIRO;ALMOXARIFADO
011409;DVD DVP K88 PM;TECNOLOGIA TV E VIDEO DVD
A00137;PANO MULTIUSO 33X50;ALMOXARIFADO
007841;REFRIGERADOR DOMEST 2 PTS 360L BRM 36D;ELETRO ELETRODOMESTICO LAVADORA
009697;X BIKE 14 DA GATINHA 301;LAZER ESPORTE E FITNESS BICICLETA
018559;CAMA CASAL LAURA CINZA PRETO;MOVEIS QUARTO CAMA
012627;ESTACAO DE TRABALHO MASTER MF;MOVEIS ESCRITORIO MESAS DE COMPUTADOR
013954;SAMSUNG E1086 DB;CELULAR SMARTPHONE
011197;LG KP106 DB CLARO;CELULAR SMARTPHONE
021565;ROUPEIRO 2 PTS.ACACIA C COMODA ESP.CARV CHAMP;MOVEIS QUARTO GUARDA-ROUPA
013236;ARM ACO ITANOVA SMART IPLSV LJ;MOVEIS COZINHA COZINHA COMPACTA
S0006U;SERVICO DE PROTECAO TOTAL 26;SERVICOS SEGURO CELULAR
A02381;SUPORTE P MONITOR C 2 GAVETAS;ALMOXARIFADO
013308;BASE BOX OLIMPIQUE 188X088X034;MOVEIS COLCHAO CAMA BOX
024738;FOGAO AGILE GLASS 4 BOCAS INOX;ELETRO ELETRODOMESTICO FOGAO
014026;KIT 7 PTS CRISTALEIRA PRIMOR 233074 BR PT;MOVEIS COZINHA ARMARIO
012217;ARM.DUPLO 1200 2PTS 71110 BR;MOVEIS COZINHA COZINHA COMPACTA
023509;BATEDEIRA NB-23 220V/60HZ;ELETRO ELETROPORTATEIS BATEDEIRA
019281;COMODA CARINHOSO BCO;MOVEIS QUARTO COMODA
019789;SAMSUNG GALAXY ACE 4 LITE G313 DUOS PTO DB;CELULAR SMARTPHONE SMARTPHONE
015228;ROUPEIRO 6TS.AREZZO REF 666 CARV YPE PT;MOVEIS QUARTO GUARDA-ROUPA
G0000C;GE1 FOGAO 2 A 6 BOCAS;SERVICOS GARANTIA
009804;CANTONEIRA;MOVEIS COZINHA COZINHA COMPACTA
018651;LAVADORA BWC11ABBNA CLEAN TOP LOAD 11KG;ELETRO ELETRODOMESTICO LAVADORA
013750;CAMA CASAL MARCELA PT AMD;MOVEIS QUARTO CAMA
013026;ESTANTE VEGA IMB PT;MOVEIS SALA DE ESTAR ESTANTE
A01977;MANGUEIRA SOPRAR CAB 3
S0005V;SERVICO DE PROTECAO TOTAL 51;SERVICOS SEGURO CELULAR
021700;MINI SYSTEM MS-9090 SEMP TCL;TECNOLOGIA AUDIO MINI SYSTEM
008408;3;CELULAR SMARTPHONE
A00618;AVENTAL PVC FORRADO;ALMOXARIFADO
018357;CAMARO R C EL 6V 2614;LAZER BRINQUEDOS MINI VEICULO
022540;CAB.BOX C/CRIADO LARISSA 0
016642;CAMERA S 5 PANASONIC VERMELHA;TECNOLOGIA CÂMERA E FILMADORA CÂMERA
012606;RACK DUBAI MAP BR BELAFLEX;MOVEIS SALA DE ESTAR RACK
020347;ROUPEIRO TROIA 6 PTS.C ESP PES MAL ROV;MOVEIS QUARTO GUARDA-ROUPA
022256;TABLET BRAVVA BV QUAD.8G ROSA;TECNOLOGIA INFORMATICA TABLET
017890;KIT VIVA VOZ BLUETOOTH MULTILASER;TECNOLOGIA AUDIO ACESSORIO DE AUDIO
019787;SMARTPHONE NOKIA LUMIA 530 DUAL DB PRETO;CELULAR SMARTPHONE SMARTPHONE
019889;MINI SYSTEM PH 250BT;TECNOLOGIA AUDIO MINI SYSTEM
A02644;ETIQUETA BRANCA 70X30;ALMOXARIFADO
021664;RACK PORTO BELO REF 142 CARV BLACK BL ARTICO;MOVEIS SALA DE ESTAR RACK
014463;PORCA GAIOLA  PCTE C 10;TECNOLOGIA INFORMATICA PC
022082;EST CHEISE MOD ELLO CHENILE C DIVERSOS;MOVEIS SALA DE ESTAR SOFA
007739;SAMSUNG E700 AVULSO;CELULAR SMARTPHONE
014708;G.ROUPA 4150 2PTS.CORRER 4GAV.534 BR RS;MOVEIS QUARTO GUARDA-ROUPA
010820;CAMERA ECS860 ZBVA XAZ DIG.SAMSUNG;TECNOLOGIA CÂMERA E FILMADORA CÂMERA
009568;MONITOR DE VIDEO DE CRISTAL LIQUIDO LCW 146;TECNOLOGIA
023671;TABLET NB263 MS50S 035 BRANCO;TECNOLOGIA INFORMATICA TABLET
011922;COMODA ROUPEIRO C CH IMP V.RICA T BR;MOVEIS QUARTO GUARDA-ROUPA
005168;CAMA SOLTEIRO LUANA STD;MOVEIS QUARTO CAMA
023183;CADEIRA MAYRA CR-2-B363-J 03;MOVEIS COZINHA CADEIRA
023529;CAFETEIRA PJ120855 NDG MINI ME AUT PT 220V DM;ELETRO ELETROPORTATEIS CAFETEIRA
012242;SAMSUNG S5620 STAR 3G CLARO;CELULAR SMARTPHONE
007934;RACK TIETE;MOVEIS SALA DE ESTAR RACK
018582;TV PH 46 FULL HD LED A3 PHILCO;TECNOLOGIA TV E VIDEO TV
005628;REFRIGERADOR 2 P.BRASTEMP 470L BRD 47B;ELETRO ELETRODOMESTICO REFRIGERADOR
015035;MESA COMPUTADOR MARIANA TB MP;MOVEIS ESCRITORIO MESAS DE COMPUTADOR
015455;NOKIA E5 00 DB PRT PRATA;CELULAR SMARTPHONE
013488;SECADOR LAS 52 MASSIMO;ELETRO BELEZA E SAUDE SECADOR DE CABELO
A00287;IMP. MULTLS. MON M1212   HP;ALMOXARIFADO
013184;ROUPEIRO 6 PTS.SINTONIA C ESP BR BR PT;MOVEIS QUARTO GUARDA-ROUPA
024338;CAD HYDRA PLUS PT SOLIDO/PLASTICO UZ4002-11;MOVEIS COZINHA CADEIRA
A00621;RACK ABERTO 36U X19   FURUKAWA;ALMOXARIFADO
012144;MESA COMPUTADOR ESPECIAL REF.8002 IMB;MOVEIS ESCRITORIO MESAS DE COMPUTADOR
A02070;BATERIA HTZ6L ( HELIAR );ALMOXARIFADO
000385;COLCHAO ANATON LUXO 128 X 18;MOVEIS COLCHAO COLCHAO
023517;MESA COMPUTADOR MARINA DEMOLICAO;MOVEIS ESCRITORIO MESAS DE COMPUTADOR
013475;BALCAO LIVIA PT;MOVEIS COZINHA COZINHA COMPACTA
015826;CELULAR MULTILASER WAY DB PRETO;CELULAR CELULAR CELULAR
009277;LIQUID.L 51 PREMIUM 5V;ELETRO ELETROPORTATEIS LIQUIDIFICADOR
A02124;BARRA DIRE E REG 545MM;ALMOXARIFADO
S0001U;SERVICO DE PROTECAO SEM DESCULPAS70;SERVICOS SEGURO CELULAR
017165;CABECEIRA CARRARA BOX 1
006680;VENTILADOR 40 CM V 04 AZ 220V;ELETRO AR E VENTILACAO VENTILADOR
007069;PRANCHA ALISADORA;ELETRO BELEZA E SAUDE PRANCHA
011228;ROUPEIRO 6 PTS.NEW C VIDRO VMB;MOVEIS QUARTO GUARDA-ROUPA
011657;REFRIGERADOR DOM 2PTS.390 BRM39ERBNA INOX;ELETRO ELETRODOMESTICO REFRIGERADOR
A00736;CINTA ERGOMETRICA P;ALMOXARIFADO
010554;DVD 750 X CCE;TECNOLOGIA TV E VIDEO DVD
003904;VENTILADOR WINDY 40 CM. 1020;ELETRO AR E VENTILACAO VENTILADOR
023906;SMART TV LED 55" SAMSUNG 4K UN55MU6100;TECNOLOGIA TV E VIDEO SMART TV
S0008D;SERVICO DE PROTECAO TOTAL 81;SERVICOS SEGURO CELULAR
021725;ROUPEIRO TURIM ESP.2313-50 PT/CZ;MOVEIS QUARTO GUARDA-ROUPA
013660;COLC.NIGHT DAY 138X24;MOVEIS COLCHAO COLCHAO
A01171;ABRAC ACO CAR FT 009 MM 1216 SUPRENS**;ALMOXARIFADO
S0006S;SERVICO DE PROTECAO TOTAL 24;SERVICOS SEGURO CELULAR
020751;ESTOFADO CANTO MICHELLY BAMBU 1011;MOVEIS SALA DE ESTAR SOFA
007105;MAQUINA LAVAR LATINA LS 20A AUTOM.10348;ELETRO ELETRODOMESTICO LAVADORA
005709;TELEVISOR TC 14A9;TECNOLOGIA TV E VIDEO TV
016511;MOTO DITALLY JOY 50 PLUS PRETA;LAZER BRINQUEDOS MINI VEICULO
010961;FORNO MICROONDAS CMY 30 ARBNA 25L INOX;ELETRO ELETRODOMESTICO FORNO
010780;SAMSUNG E215 TIM;CELULAR SMARTPHONE
016036;POLTRONA PONTE VERDE BR;MOVEIS TERRACO POLTRONA
017624;FORNO ELETRICO 30L FR 04;ELETRO ELETRODOMESTICO FORNO
015670;LIQUIDIFICADOR LQ3222 PT 4V SUGGAR LIQMAX C F;ELETRO ELETROPORTATEIS LIQUIDIFICADOR
019149;SAMSUNG GALAXY SIII DUOS I8262 AZUL;CELULAR SMARTPHONE SMARTPHONE
008537;TELEFONE S FIO VT 9113 VTECH 900 MHZ;ELETRO ELETROPORTATEIS TELEFONE
023801;VENTILADOR 40CM V-73 6P 220V/60HZ RED PREMIUM;ELETRO AR E VENTILACAO VENTILADOR
A00630;PATCH CORD 1
S0001F;SERVICO DE PROTECAO SEM DESCULPAS51;SERVICOS SEGURO CELULAR
015658;ZTE N285 PRETO VERM DB;CELULAR SMARTPHONE
